CustomerID,Age,AnnualIncome_kUSD,SpendingScore,PurchaseFrequency,OnlinePurchaseRatio
1,22,15.0,48.0,3.7,0.53
2,59,66.7,71.5,13.0,0.57
3,52,75.0,43.0,4.0,0.64
4,41,18.9,72.9,8.2,0.74
5,40,27.9,32.1,1.2,0.55
6,63,51.3,71.6,11.0,0.75
7,22,41.3,75.3,10.4,0.79
8,54,29.6,23.0,3.1,0.43
9,28,21.6,16.0,1.0,0.41
10,22,29.9,82.2,9.5,0.95
11,45,40.8,30.3,1.3,0.53
12,69,46.6,29.5,5.9,0.32
13,56,41.1,89.5,11.4,0.88
14,58,27.5,87.2,9.9,0.92
15,56,39.8,70.2,3.4,0.81
16,59,41.5,79.6,7.1,0.75
17,45,38.3,25.3,4.0,0.51
18,24,15.2,71.8,10.2,0.8
19,62,52.3,17.4,3.9,0.57
20,41,45.1,39.8,1.6,0.46
21,44,36.8,77.3,9.1,0.72
22,37,34.6,21.8,4.3,0.37
23,27,24.5,84.4,6.4,0.77
24,67,49.9,10.3,1.1,0.25
25,59,36.0,3.8,1.0,0.05
26,52,43.9,31.6,3.0,0.43
27,39,30.5,31.8,1.0,0.49
28,61,71.1,79.6,8.3,0.74
29,46,55.1,10.1,1.0,0.47
30,41,37.6,31.3,3.2,0.46
31,41,23.8,51.0,4.7,0.69
32,30,15.0,79.7,8.1,0.8
33,22,34.9,75.2,8.3,0.82
34,47,40.0,71.4,8.7,0.75
35,65,54.3,19.4,1.6,0.49
36,21,15.0,50.2,4.8,0.59
37,63,58.4,78.7,8.9,0.81
38,61,51.4,83.6,5.8,0.84
39,32,15.0,14.8,2.5,0.33
40,51,33.8,17.4,1.9,0.4
41,26,26.4,61.1,6.9,0.84
42,58,44.6,14.0,3.3,0.32
43,55,38.5,32.1,1.0,0.5
44,36,28.5,54.7,2.5,0.72
45,21,16.9,77.8,9.1,0.86
46,69,53.0,82.8,9.2,0.8
47,41,50.6,73.5,8.5,0.55
48,65,17.8,47.0,4.4,0.6
49,53,37.9,63.8,8.3,0.5
50,59,46.8,87.0,11.3,0.95
51,58,47.6,4.1,1.3,0.29
52,28,20.0,27.3,2.6,0.51
53,37,15.0,63.5,3.3,0.6
54,42,37.5,81.8,10.5,0.67
55,44,55.6,16.6,4.0,0.38
56,20,15.0,34.6,5.0,0.48
57,46,46.6,80.3,7.3,0.75
58,26,19.3,93.7,11.6,0.88
59,57,42.6,21.7,4.0,0.62
60,54,28.8,34.9,6.7,0.55
61,66,45.2,61.1,5.2,0.74
62,57,59.0,87.8,9.3,0.9
63,37,37.3,16.3,3.2,0.48
64,69,71.9,27.3,3.1,0.42
65,39,45.8,23.4,1.0,0.24
66,35,34.3,8.3,1.7,0.29
67,65,69.5,35.1,4.9,0.55
68,37,35.6,41.1,4.7,0.45
69,22,30.5,27.0,3.4,0.42
70,42,30.0,59.7,6.2,0.59
71,60,46.1,73.4,10.8,0.86
72,28,16.1,38.1,2.6,0.56
73,42,45.5,57.1,5.3,0.68
74,24,15.0,60.8,6.8,0.71
75,54,50.8,83.8,10.9,0.81
76,43,32.0,75.9,5.7,0.77
77,35,43.1,35.8,1.6,0.39
78,30,34.8,92.1,6.6,0.69
79,47,58.7,27.9,3.2,0.45
80,53,49.5,38.6,2.3,0.53
81,67,31.0,58.3,5.8,0.74
82,41,32.1,29.1,4.4,0.57
83,26,15.0,16.6,1.0,0.49
84,62,40.4,28.1,3.5,0.36
85,51,57.6,80.1,8.4,0.76
86,55,49.7,18.2,3.2,0.41
87,23,15.0,20.3,3.1,0.59
88,34,16.2,98.4,9.7,0.95
89,58,44.4,77.7,8.3,0.86
90,62,32.0,24.0,4.5,0.38
91,41,24.9,84.7,10.1,0.74
92,60,49.0,74.9,5.8,0.81
93,62,60.5,73.5,9.3,0.65
94,38,38.3,79.5,6.9,0.76
95,65,21.1,62.5,9.5,0.66
96,33,31.4,76.7,10.4,0.89
97,30,26.7,50.2,6.1,0.56
98,54,46.4,80.6,9.2,0.59
99,51,58.8,19.5,1.8,0.42
100,25,15.0,70.2,9.0,0.66
101,62,39.5,71.7,7.3,0.73
102,28,31.6,21.5,2.8,0.39
103,60,26.3,20.4,3.8,0.36
104,18,35.7,82.7,8.2,0.86
105,60,49.7,58.7,5.4,0.52
106,59,54.8,40.8,2.4,0.48
107,59,37.8,20.1,1.0,0.44
108,53,50.5,27.3,1.0,0.38
109,42,46.4,20.6,3.6,0.26
110,55,44.8,45.1,8.3,0.6
111,32,29.9,88.1,12.4,0.93
112,59,47.9,33.2,1.0,0.47
113,47,26.5,9.1,2.3,0.15
114,42,31.8,81.5,11.6,0.85
115,44,33.1,79.7,8.0,0.65
116,48,42.1,59.8,6.8,0.67
117,19,30.6,23.8,1.0,0.34
118,25,15.0,78.9,9.2,0.68
119,31,24.9,36.6,2.2,0.46
120,24,39.7,75.7,8.8,0.74
121,41,24.0,78.4,5.9,0.72
122,53,30.9,38.8,5.3,0.56
123,52,42.5,88.1,11.6,0.8
124,42,43.7,47.2,3.8,0.64
125,63,47.4,28.7,1.1,0.46
126,47,52.8,30.5,1.0,0.4
127,22,30.9,13.7,1.0,0.27
128,58,54.1,33.1,2.6,0.34
129,48,44.1,44.3,2.1,0.57
130,51,67.4,21.8,3.2,0.37
131,47,34.4,27.3,2.2,0.24
132,47,15.0,15.4,1.0,0.31
133,22,39.9,69.1,6.7,0.64
134,47,31.4,87.9,11.7,0.95
135,60,46.6,18.2,3.1,0.24
136,34,44.1,36.4,3.8,0.38
137,49,18.9,53.2,7.0,0.69
138,19,15.0,90.1,7.9,0.95
139,36,15.0,30.6,3.5,0.39
140,41,23.4,73.6,8.4,0.69
141,70,57.1,29.0,2.4,0.49
142,29,31.4,17.2,2.7,0.18
143,32,30.4,84.9,8.0,0.67
144,39,15.0,68.3,8.5,0.68
145,70,24.1,73.4,9.1,0.86
146,63,47.9,71.0,2.6,0.69
147,19,15.0,69.5,9.9,0.72
148,30,31.3,38.2,1.0,0.6
149,61,54.4,34.7,2.7,0.65
150,21,21.6,30.9,5.3,0.41
151,63,56.4,32.2,3.0,0.46
152,32,29.9,29.2,1.0,0.59
153,66,55.6,28.0,1.1,0.31
154,33,19.3,46.7,7.0,0.64
155,41,30.8,59.9,3.2,0.57
156,53,43.1,44.3,7.0,0.55
157,24,31.7,37.7,4.1,0.48
158,47,32.1,67.1,5.3,0.62
159,44,41.2,98.1,9.9,0.83
160,59,41.5,33.7,1.9,0.5
161,70,50.4,84.8,11.0,0.89
162,53,50.7,32.3,4.9,0.45
163,39,15.0,28.4,1.0,0.44
164,39,16.1,73.2,7.4,0.78
165,40,15.0,75.4,6.8,0.67
166,61,17.9,38.5,6.6,0.57
167,35,20.9,26.2,1.0,0.49
168,26,32.2,14.9,4.5,0.56
169,35,25.6,39.3,4.3,0.48
170,19,21.0,40.1,2.4,0.48
171,23,34.3,37.9,3.0,0.56
172,22,36.5,81.1,7.6,0.86
173,58,43.2,73.2,5.8,0.7
174,56,58.9,66.6,7.6,0.66
175,54,42.5,65.6,5.1,0.73
176,42,23.6,59.1,2.6,0.58
177,56,35.6,26.3,2.2,0.39
178,26,15.0,23.7,1.0,0.42
179,65,37.9,27.1,1.7,0.51
180,44,30.6,46.1,3.5,0.51
181,67,59.5,19.9,1.0,0.24
182,26,43.8,34.9,7.5,0.33
183,44,18.3,65.2,7.3,0.58
184,54,46.1,27.2,3.5,0.33
185,44,22.4,61.5,3.6,0.65
186,41,38.6,38.2,3.1,0.41
187,26,21.6,22.9,2.9,0.35
188,38,15.0,33.5,1.9,0.41
189,30,36.9,99.0,12.6,0.87
190,33,20.5,87.2,7.5,0.94
191,54,35.0,72.6,7.6,0.79
192,51,26.6,69.6,6.7,0.72
193,50,30.9,69.8,8.1,0.68
194,37,35.5,29.0,2.1,0.41
195,68,48.2,30.9,2.9,0.48
196,22,24.5,27.0,2.6,0.48
197,36,34.0,88.1,8.5,0.76
198,24,37.7,74.6,9.2,0.75
199,35,24.9,47.2,5.7,0.4
200,68,32.8,32.2,3.4,0.48
201,37,43.2,93.7,9.6,0.94
202,66,45.2,27.2,4.5,0.41
203,44,48.3,85.6,9.1,0.95
204,55,46.7,24.6,2.2,0.34
205,42,32.0,64.7,7.4,0.7
206,32,31.3,35.8,7.0,0.49
207,58,67.4,42.6,2.3,0.53
208,69,76.1,23.1,4.0,0.39
209,31,27.3,18.2,1.0,0.38
210,59,46.6,62.3,7.3,0.73
211,31,39.4,59.7,9.5,0.76
212,55,31.9,6.4,1.6,0.29
213,59,48.6,33.0,4.0,0.54
214,41,32.6,86.9,8.6,0.77
215,57,47.1,23.5,2.7,0.47
216,32,17.1,52.7,5.4,0.54
217,22,15.0,22.6,1.1,0.49
218,23,15.0,22.9,2.0,0.58
219,41,19.5,92.9,10.7,0.86
220,65,43.0,61.3,5.4,0.48
221,24,18.4,26.8,1.5,0.38
222,42,56.8,93.2,7.9,0.95
223,55,55.3,80.0,9.6,0.83
224,28,15.0,80.9,10.0,0.81
225,56,46.9,75.8,8.8,0.84
226,34,23.5,75.6,10.1,0.79
227,60,41.9,83.6,9.4,0.9
228,48,39.7,23.5,3.3,0.48
229,46,43.6,84.7,10.0,0.94
230,27,19.8,10.7,1.0,0.35
231,42,46.4,77.9,7.7,0.84
232,63,33.5,33.1,7.7,0.45
233,19,18.7,18.3,1.2,0.32
234,58,75.2,76.3,7.3,0.9
235,44,37.6,25.3,3.6,0.44
236,56,59.9,65.3,7.7,0.75
237,53,41.8,28.1,1.0,0.45
238,40,39.3,62.9,9.0,0.62
239,34,27.7,76.0,8.3,0.76
240,51,37.4,64.2,5.1,0.79
241,25,15.0,37.7,6.3,0.55
242,48,42.7,64.0,8.2,0.54
243,23,15.0,65.8,5.0,0.67
244,52,48.1,69.7,10.9,0.86
245,51,52.5,88.5,11.0,0.82
246,22,25.0,75.8,8.4,0.61
247,58,40.6,71.9,10.9,0.88
248,40,37.7,36.5,4.3,0.55
249,59,40.9,54.7,6.0,0.61
250,20,30.5,72.6,6.9,0.7
251,27,15.0,95.3,11.6,0.95
252,44,30.9,76.9,9.4,0.72
253,27,15.0,76.0,8.5,0.85
254,35,15.0,30.0,1.9,0.49
255,53,57.1,32.2,3.8,0.48
256,25,33.3,53.4,5.8,0.62
257,53,32.1,56.4,3.9,0.61
258,23,15.0,73.6,5.5,0.82
259,27,15.0,17.4,3.0,0.3
260,49,31.6,88.8,5.2,0.71
261,60,74.3,19.6,2.5,0.43
262,27,29.1,11.8,1.0,0.38
263,33,21.0,18.2,4.4,0.41
264,67,55.4,1.0,1.0,0.29
265,70,33.1,71.0,9.1,0.7
266,48,33.9,22.1,1.7,0.46
267,41,34.1,71.4,8.1,0.72
268,36,28.7,34.9,5.2,0.44
269,50,48.3,88.0,8.9,0.81
270,49,42.3,72.5,9.8,0.89
271,33,35.8,10.1,1.0,0.18
272,19,15.0,30.7,3.9,0.49
273,26,34.0,79.0,10.4,0.64
274,68,70.0,80.1,10.1,0.78
275,40,20.7,40.6,8.0,0.49
276,43,23.6,60.7,5.4,0.49
277,42,49.6,96.1,8.2,0.92
278,59,42.4,64.6,5.4,0.65
279,21,36.8,83.2,10.4,0.64
280,22,15.3,13.7,2.4,0.41
281,32,44.6,66.6,7.6,0.81
282,43,35.8,88.7,7.8,0.95
283,53,43.8,21.1,3.7,0.42
284,44,53.7,84.5,7.2,0.82
285,41,28.6,33.5,5.8,0.58
286,67,38.6,72.8,13.2,0.87
287,26,17.8,89.0,10.5,0.93
288,48,42.9,29.3,4.3,0.37
289,46,17.4,12.9,1.0,0.35
290,43,41.9,67.8,4.3,0.74
291,60,38.8,79.4,7.7,0.63
292,32,40.9,79.8,6.9,0.82
293,68,21.8,56.5,3.7,0.81
294,35,19.6,68.1,10.7,0.76
295,46,16.0,18.7,2.6,0.49
296,45,25.6,27.4,3.7,0.45
297,63,50.2,18.2,1.5,0.37
298,41,30.8,24.9,2.5,0.45
299,33,24.7,23.7,4.4,0.34
300,19,16.7,79.4,8.8,0.7
301,37,32.8,39.4,5.3,0.61
302,61,33.8,29.9,3.0,0.56
303,18,26.5,71.6,7.3,0.65
304,65,56.5,77.5,6.1,0.84
305,46,40.8,15.6,1.0,0.35
306,25,29.2,61.5,6.4,0.69
307,34,32.0,66.2,7.5,0.73
308,47,61.3,69.9,5.5,0.8
309,34,27.4,61.1,6.7,0.66
310,23,17.6,77.0,8.7,0.88
311,53,31.7,31.3,1.0,0.48
312,53,28.4,15.3,1.0,0.4
313,24,15.0,30.9,4.2,0.39
314,32,16.4,22.3,3.2,0.57
315,30,25.0,27.7,1.0,0.47
316,52,44.1,75.8,8.7,0.81
317,56,43.3,17.2,3.8,0.24
318,56,33.5,18.7,3.5,0.31
319,67,60.7,23.5,2.4,0.51
320,58,52.9,42.4,3.9,0.56
321,34,26.5,2.1,1.0,0.11
322,23,15.0,78.8,9.6,0.86
323,50,45.4,43.7,5.2,0.5
324,66,51.5,21.9,3.6,0.51
325,69,33.8,29.5,3.5,0.44
326,30,25.0,68.5,9.1,0.72
327,30,28.9,71.7,8.1,0.82
328,19,15.0,14.4,3.0,0.27
329,25,24.8,7.5,2.4,0.22
330,47,19.4,33.8,2.3,0.46
331,46,52.2,13.6,1.0,0.41
332,37,45.3,27.3,5.8,0.33
333,34,25.4,61.6,7.3,0.53
334,61,50.3,17.9,1.0,0.44
335,42,15.0,69.8,6.5,0.67
336,60,31.4,16.8,3.3,0.33
337,69,47.6,35.7,3.5,0.34
338,34,15.5,29.1,2.3,0.39
339,28,33.1,78.9,11.3,0.78
340,68,74.5,79.8,7.0,0.86
341,51,25.3,88.3,8.4,0.78
