Customer_ID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Support_Calls,Payment_Delays,Num_Products,Contract_Length,Has_Internet,Has_Streaming,Gender,Churn,Cancellation_Date
CUST_0001,56,15,84.59,1272.97,1,0,1,Yearly,Yes,Yes,Male,0,
CUST_0002,69,64,74.3,4945.13,1,0,1,Yearly,No,No,Male,0,
CUST_0003,46,28,93.68,2410.03,1,2,1,Yearly,Yes,Yes,Male,0,
CUST_0004,32,39,118.36,4727.82,5,1,4,Yearly,No,No,Female,0,
CUST_0005,60,57,114.44,7066.62,1,5,4,Monthly,Yes,No,Female,0,
CUST_0006,25,17,90.15,1470.98,2,2,3,Two-Year,Yes,No,Male,0,
CUST_0007,38,44,127.8,5765.61,1,2,3,Yearly,Yes,No,Female,0,
CUST_0008,56,25,78.86,2098.2,3,0,2,Monthly,Yes,Yes,Female,0,
CUST_0009,36,17,137.09,2336.03,7,2,3,Yearly,Yes,No,Male,1,1794182400000000000
CUST_0010,40,13,33.91,460.05,2,3,3,Monthly,Yes,No,Female,0,
CUST_0011,28,25,144.33,3471.87,3,3,1,Monthly,Yes,No,Female,1,1769731200000000000
CUST_0012,28,68,106.84,6983.32,2,2,1,Monthly,Yes,Yes,Female,0,
CUST_0013,41,10,72.51,749.4,0,1,3,Yearly,No,Yes,Female,0,
CUST_0014,53,67,49.64,3462.51,4,1,2,Two-Year,Yes,Yes,Male,0,
CUST_0015,57,18,84.9,1661.77,2,1,1,Yearly,No,Yes,Female,0,
CUST_0016,41,34,49.32,1584.6,2,1,3,Monthly,Yes,Yes,Female,0,
CUST_0017,20,8,45.79,363.99,3,1,3,Monthly,No,No,Female,1,1770076800000000000
CUST_0018,39,40,102.17,3882.88,4,2,4,Monthly,Yes,No,Male,0,
CUST_0019,19,42,90.39,3477.55,4,5,2,Monthly,Yes,No,Female,0,
CUST_0020,41,41,108.76,4372.86,0,1,4,Yearly,Yes,Yes,Female,0,
CUST_0021,61,6,141.2,825.86,1,1,2,Two-Year,Yes,Yes,Female,1,1786233600000000000
